Station,District,Elevation(masl),Max,Min,Year
Chatara,Sunsari,105,31.7,NA,2017
Biratnagar Airport,Morang,72,31.1,20,2017
Tarahara,Sunsari,120,31.3,19,2017
Tumlingtar,Sankhuwasabha,477,NA,NA,2017
Khadbari,Sankhuwasabha,1064,24.9,17,2017
Taplejung,Taplejung,1744,22.9,13,2017
Ilam Tea Estate,Ilam,1208,24.3,12,2017
Damak,Jhapa,119,31.6,19,2017
Chandra Gadhi,Jhapa,90,NA,19,2017
Kanyam Tea Estate,Ilam,1570,NA,NA,2017
Phidim Panchther ,Panchthar,1157,27,NA,2017
Dovan,TAPLEJUNG,700,NA,NA,2017
Gaida Kankai ,Jhapa,107,NA,NA,2017
Kechana,Jhapa,71,30.8,20,2017
Nuwakot,Nuwakot,966,27.9,17,2017
Lukla Airport,Solukhumbhu,2786,NA,NA,2017
Chisapani Karnali ,Kailali,201,30.2,20,2017
Godavari,,NA,24,11,2017
Jyamirebari,,1525,23,13,2017
Lete,Mustang,2617,17.6,7.2,2017
Nepalgunj Airport,,NA,31.7,18,2017
Okhaldhunga,,1725,22.8,13,2017
Baitadi Gothalapani ,Baitadi,1352,26,9.4,2018
Patan West ,Baitadi,1292,25.8,13,2018
Dadeldhura,Dadeldhura,1879,21.8,12,2018
Mahendra Nagar,Kanchanpur,197,30.2,18,2018
Darchula,Darchula,945,26.3,14,2018
Dainsili Sidhhapur ,Baitadi,2083,NA,NA,2018
Darchula New,Darchula,887,28.6,15,2018
Patan new,Baitadi,1299,24.7,13,2018
Silgadhi Doti,Doti,1309,26.2,14,2018
Bajura Martadi ,Bajura,1598,24.1,12,2018
Tikapur,Kailali,149,31.2,17,2018
Dhangadhi Attariya ,Kailali,184,30.8,18,2018
Godavari West ,Kailali,280,31.3,20,2018
Mangalsen,Achham,1310,NA,NA,2018
Dipayal Doti ,Doti,563,30.9,15,2018
Oli Gaun Patkani ,Achham,989,29.1,14,2018
Gokuleshwar,Kailali,761,NA,NA,2018
Chainpur Bajhang AWS,,1405,26,13,2018
Jumla,Jumla,2363,21.8,5.6,2018
Gam Shree Nagar,Mugu,2113,24,10,2018
Rara,Mugu,2989,15.8,3.7,2018
Nagma,Kalikot,2017,22.5,8.2,2018
Dipal Gaun,Jumla,2422,23.4,4.9,2018
Simikot,Humla,2993,16,5.6,2018
Dunai,Dolpa,2098,22.1,9.9,2018
Manma,kalikot,1729,23.4,10,2018
Kaigaun,Dolpa,2683,NA,NA,2018
Jumla Airport,Jumla,2384,21.6,4.6,2018
Pusma Camp,Surkhet,953,25.1,NA,2018
Dailekh,Dailekh,1394,26.5,14,2018
"Surkhet Airport, Birendranagar ",Surkhet,683,29,15,2018
Gulariya,Bardiya,126,30.4,18,2018
Khajura Nepalganj ,Banke,129,30.9,18,2018
Nepalgunj Reg Off ,Banke,141,30.2,19,2018
Rani Jaruwa Nursery,Bardiya,145,30.6,NA,2018
Sikta,Banke,161,31.2,18,2018
Mehalkuna,Surkhet,464,30.5,16,2018
Libang Gaun,Rolpa,1314,26.6,14,2018
Bijuwar Tar,Pyuthan,835,29.5,15,2018
Tulsipur,Dang,683,27.7,17,2018
Salyan Bazar,Salyan,1557,25,14,2018
Chaurjhari Tar,Rukum,863,28.7,14,2018
Musikot Rukumkot ,Rukum,1412,25,13,2018
Ghorai Dang ,Dang,663,28.9,16,2018
Jomsom,Mustang,0,17.8,5.6,2018
Jomsom Resort,Mustang,2846,NA,NA,2018
Thakmarpha,Mustang,2655,17.6,3.6,2018
Baglung,Baglung,964,NA,NA,2018
Bahrabise,Sindhupalchok,,29.1,15,2018
